公投案,縣市,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
第8案,屏東縣,里港鄉,"7,701","2,799","10,500","1,576","12,076","22,128",54.57%,34.8%
第8案,屏東縣,鹽埔鄉,"7,560","2,514","10,074","1,294","11,368","22,402",50.75%,33.75%
第8案,屏東縣,高樹鄉,"6,482","2,513","8,995","1,308","10,303","21,697",47.49%,29.88%
第8案,屏東縣,萬巒鄉,"5,697","2,105","7,802","1,120","8,922","17,945",49.72%,31.75%
第8案,屏東縣,內埔鄉,"14,890","4,816","19,706","2,111","21,817","47,558",45.87%,31.31%
第8案,屏東縣,竹田鄉,"5,777","2,046","7,823",962,"8,785","15,353",57.22%,37.63%
第8案,屏東縣,新埤鄉,"2,880",990,"3,870",548,"4,418","9,033",48.91%,31.88%
第8案,屏東縣,枋寮鄉,"7,292","2,451","9,743","1,469","11,212","21,394",52.41%,34.08%
第8案,屏東縣,新園鄉,"10,269","3,577","13,846","2,072","15,918","30,706",51.84%,33.44%
第8案,屏東縣,崁頂鄉,"4,227","1,400","5,627",649,"6,276","12,270",51.15%,34.45%
第8案,屏東縣,林邊鄉,"5,553","1,908","7,461","1,108","8,569","15,691",54.61%,35.39%
第8案,屏東縣,南州鄉,"3,279","1,098","4,377",555,"4,932","9,479",52.03%,34.59%
第8案,屏東縣,佳冬鄉,"5,317","1,854","7,171","1,101","8,272","17,063",48.48%,31.16%
第8案,屏東縣,琉球鄉,"2,962",827,"3,789",602,"4,391","10,706",41.01%,27.67%
第8案,屏東縣,車城鄉,"2,023",694,"2,717",306,"3,023","7,595",39.8%,26.64%
第8案,屏東縣,滿州鄉,"2,123",663,"2,786",255,"3,041","7,206",42.2%,29.46%
第8案,屏東縣,枋山鄉,"1,616",530,"2,146",256,"2,402","4,856",49.46%,33.28%
第8案,屏東縣,三地門鄉,"2,208",644,"2,852",320,"3,172","6,373",49.77%,34.65%
第8案,屏東縣,霧臺鄉,"1,106",340,"1,446",112,"1,558","2,950",52.81%,37.49%
第8案,屏東縣,瑪家鄉,"2,346",681,"3,027",252,"3,279","5,663",57.9%,41.43%
第8案,屏東縣,泰武鄉,"1,791",580,"2,371",325,"2,696","4,344",62.06%,41.23%
第8案,屏東縣,來義鄉,"2,576",642,"3,218",349,"3,567","6,257",57.01%,41.17%
第8案,屏東縣,春日鄉,739,233,972,61,"1,033","3,923",26.33%,18.84%
第8案,屏東縣,獅子鄉,"1,382",314,"1,696",127,"1,823","4,230",43.1%,32.67%
第8案,屏東縣,牡丹鄉,"1,305",314,"1,619",112,"1,731","4,314",40.13%,30.25%
第8案,宜蘭縣,宜蘭市,"32,163","8,747","40,910","3,586","44,496","79,167",56.21%,40.63%
第8案,宜蘭縣,羅東鎮,"23,361","6,884","30,245","2,814","33,059","57,686",57.31%,40.5%
第8案,宜蘭縣,蘇澳鎮,"13,182","4,065","17,247","2,029","19,276","34,512",55.85%,38.2%
第8案,宜蘭縣,頭城鎮,"9,390","2,823","12,213","1,535","13,748","25,135",54.7%,37.36%
第8案,宜蘭縣,礁溪鄉,"11,552","3,510","15,062","1,503","16,565","31,084",53.29%,37.16%
第8案,宜蘭縣,壯圍鄉,"8,149","2,591","10,740","1,453","12,193","21,447",56.85%,38%
第8案,宜蘭縣,員山鄉,"10,219","3,058","13,277","1,740","15,017","28,131",53.38%,36.33%
第8案,宜蘭縣,冬山鄉,"17,407","4,801","22,208","1,804","24,012","45,405",52.88%,38.34%
第8案,宜蘭縣,五結鄉,"13,195","3,768","16,963","1,577","18,540","34,892",53.14%,37.82%
第8案,宜蘭縣,三星鄉,"6,724","2,119","8,843","1,029","9,872","19,051",51.82%,35.29%
第8案,宜蘭縣,大同鄉,"1,581",471,"2,052",273,"2,325","4,935",47.11%,32.04%
第8案,宜蘭縣,南澳鄉,"1,987",422,"2,409",227,"2,636","4,644",56.76%,42.79%
第8案,花蓮縣,花蓮市,"33,828","8,590","42,418","2,948","45,366","84,807",53.49%,39.89%
第8案,花蓮縣,鳳林鎮,"3,783",934,"4,717",573,"5,290","9,676",54.67%,39.1%
第8案,花蓮縣,玉里鎮,"6,519","1,916","8,435","1,232","9,667","20,650",46.81%,31.57%
第8案,花蓮縣,新城鄉,"6,668","1,798","8,466",699,"9,165","17,029",53.82%,39.16%
第8案,花蓮縣,吉安鄉,"28,209","7,124","35,333","2,515","37,848","72,116",52.48%,39.12%
第8案,花蓮縣,壽豐鄉,"5,963","1,879","7,842",882,"8,724","15,847",55.05%,37.63%
第8案,花蓮縣,光復鄉,"3,925","1,155","5,080",738,"5,818","11,417",50.96%,34.38%
第8案,花蓮縣,豐濱鄉,"1,172",403,"1,575",314,"1,889","4,395",42.98%,26.67%
第8案,花蓮縣,瑞穗鄉,"3,429","1,006","4,435",576,"5,011","10,279",48.75%,33.36%
第8案,花蓮縣,富里鄉,"2,782",822,"3,604",509,"4,113","9,065",45.37%,30.69%
第8案,花蓮縣,秀林鄉,"4,254","1,246","5,500",518,"6,018","12,562",47.91%,33.86%
第8案,花蓮縣,萬榮鄉,"1,802",667,"2,469",355,"2,824","5,269",53.6%,34.2%
第8案,花蓮縣,卓溪鄉,"1,819",555,"2,374",304,"2,678","4,947",54.13%,36.77%
第8案,臺東縣,臺東市,"34,531","9,173","43,704","3,501","47,205","87,803",53.76%,39.33%
第8案,臺東縣,成功鎮,"4,010","1,193","5,203",869,"6,072","12,426",48.87%,32.27%
第8案,臺東縣,關山鎮,"2,662",701,"3,363",313,"3,676","7,509",48.95%,35.45%
第8案,臺東縣,卑南鄉,"5,255","1,631","6,886",835,"7,721","14,976",51.56%,35.09%
第8案,臺東縣,鹿野鄉,"2,011",727,"2,738",343,"3,081","6,936",44.42%,28.99%
第8案,臺東縣,池上鄉,"2,209",673,"2,882",362,"3,244","7,162",45.29%,30.84%
第8案,臺東縣,東河鄉,"2,087",663,"2,750",463,"3,213","7,635",42.08%,27.33%
第8案,臺東縣,長濱鄉,"1,590",511,"2,101",484,"2,585","6,484",39.87%,24.52%
第8案,臺東縣,太麻里鄉,"2,997",971,"3,968",569,"4,537","9,666",46.94%,31.01%
第8案,臺東縣,大武鄉,"1,577",542,"2,119",555,"2,674","5,266",50.78%,29.95%
第8案,臺東縣,綠島鄉,"1,147",300,"1,447",101,"1,548","3,579",43.25%,32.05%
第8案,臺東縣,海端鄉,"1,129",391,"1,520",212,"1,732","3,278",52.84%,34.44%
第8案,臺東縣,延平鄉,974,337,"1,311",199,"1,510","2,930",51.54%,33.24%
第8案,臺東縣,金峰鄉,"1,060",340,"1,400",212,"1,612","3,028",53.24%,35.01%
第8案,臺東縣,達仁鄉,"1,291",270,"1,561",198,"1,759","3,137",56.07%,41.15%
第8案,臺東縣,蘭嶼鄉,991,401,"1,392",140,"1,532","4,181",36.64%,23.7%
第8案,澎湖縣,馬公市,"18,487","5,114","23,601","1,997","25,598","53,655",47.71%,34.46%
第8案,澎湖縣,湖西鄉,"3,825","1,035","4,860",485,"5,345","12,741",41.95%,30.02%
第8案,澎湖縣,白沙鄉,"2,443",756,"3,199",389,"3,588","8,625",41.6%,28.32%
第8案,澎湖縣,西嶼鄉,"1,618",461,"2,079",382,"2,461","7,382",33.34%,21.92%
第8案,澎湖縣,望安鄉,"1,192",333,"1,525",232,"1,757","4,628",37.96%,25.76%
第8案,澎湖縣,七美鄉,667,211,878,114,992,"3,374",29.4%,19.77%
第8案,金門縣,金城鎮,"10,346","2,034","12,380",812,"13,192","37,815",34.89%,27.36%
第8案,金門縣,金沙鎮,"5,095",960,"6,055",505,"6,560","18,560",35.34%,27.45%
第8案,金門縣,金湖鎮,"7,443","1,448","8,891",688,"9,579","25,915",36.96%,28.72%
第8案,金門縣,金寧鄉,"7,708","1,798","9,506",651,"10,157","28,162",36.07%,27.37%
第8案,金門縣,烈嶼鄉,"3,412",556,"3,968",279,"4,247","11,676",36.37%,29.22%
第8案,金門縣,烏坵鄉,135,20,155,10,165,567,29.1%,23.81%
第8案,連江縣,南竿鄉,"2,708",425,"3,133",139,"3,272","6,461",50.64%,41.91%
第8案,連江縣,北竿鄉,903,142,"1,045",59,"1,104","2,125",51.95%,42.49%
第8案,連江縣,莒光鄉,610,124,734,43,777,"1,481",52.46%,41.19%
第8案,連江縣,東引鄉,484,78,562,16,578,"1,138",50.79%,42.53%
第8案,基隆市,中正區,"15,275","4,267","19,542","1,538","21,080","45,545",46.28%,33.54%
第8案,基隆市,七堵區,"17,242","5,289","22,531","1,698","24,229","46,256",52.38%,37.28%
第8案,基隆市,暖暖區,"12,703","3,527","16,230",893,"17,123","33,225",51.54%,38.23%
第8案,基隆市,仁愛區,"13,573","4,225","17,798","1,682","19,480","36,738",53.02%,36.95%
第8案,基隆市,中山區,"14,924","4,550","19,474","1,463","20,937","41,856",50.02%,35.66%
第8案,基隆市,安樂區,"26,895","7,380","34,275","1,970","36,245","70,396",51.49%,38.21%
第8案,基隆市,信義區,"17,958","4,332","22,290","1,302","23,592","46,014",51.27%,39.03%
第8案,新竹市,東區,"66,631","20,584","87,215","4,981","92,196","163,757",56.3%,40.69%
第8案,新竹市,北區,"48,668","14,935","63,603","4,266","67,869","123,122",55.12%,39.53%
第8案,新竹市,香山區,"26,341","7,542","33,883","2,329","36,212","64,896",55.8%,40.59%
第8案,嘉義市,東區,"37,194","12,843","50,037","3,705","53,742","100,647",53.4%,36.95%
第8案,嘉義市,西區,"44,312","15,010","59,322","5,095","64,417","120,906",53.28%,36.65%
第9案,臺北市,松山區,"72,672","21,614","94,286","5,549","99,835","169,278",58.98%,42.93%
第9案,臺北市,信義區,"80,252","22,789","103,041","6,057","109,098","190,444",57.29%,42.14%
第9案,臺北市,大安區,"105,524","31,885","137,409","7,116","144,525","252,645",57.2%,41.77%
第9案,臺北市,中山區,"78,403","25,525","103,928","6,836","110,764","195,148",56.76%,40.18%
第9案,臺北市,中正區,"54,214","16,318","70,532","3,896","74,428","128,292",58.01%,42.26%
第9案,臺北市,大同區,"42,181","15,060","57,241","4,408","61,649","107,557",57.32%,39.22%
第9案,臺北市,萬華區,"63,881","20,023","83,904","6,601","90,505","164,020",55.18%,38.95%
第9案,臺北市,文山區,"100,344","26,928","127,272","7,692","134,964","227,211",59.4%,44.16%
第9案,臺北市,南港區,"42,721","12,523","55,244","3,123","58,367","101,907",57.27%,41.92%
第9案,臺北市,內湖區,"101,210","28,795","130,005","6,798","136,803","236,824",57.77%,42.74%
第9案,臺北市,士林區,"95,594","32,145","127,739","9,355","137,094","241,854",56.68%,39.53%
第9案,臺北市,北投區,"85,399","26,239","111,638","7,510","119,148","213,250",55.87%,40.05%
第9案,新北市,板橋區,"183,906","55,619","239,525","18,834","258,359","463,411",55.75%,39.69%
第9案,新北市,三重區,"126,943","40,687","167,630","15,951","183,581","329,846",55.66%,38.49%
第9案,新北市,中和區,"146,291","38,167","184,458","11,790","196,248","355,978",55.13%,41.1%
第9案,新北市,永和區,"82,910","20,904","103,814","6,214","110,028","187,798",58.59%,44.15%
第9案,新北市,新莊區,"139,805","40,941","180,746","14,127","194,873","344,981",56.49%,40.53%
第9案,新北市,新店區,"112,489","27,746","140,235","8,099","148,334","264,053",56.18%,42.6%
第9案,新北市,樹林區,"59,598","18,134","77,732","5,540","83,272","152,102",54.75%,39.18%
第9案,新北市,鶯歌區,"27,021","7,767","34,788","2,543","37,331","71,645",52.11%,37.72%
第9案,新北市,三峽區,"35,620","10,204","45,824","3,252","49,076","94,291",52.05%,37.78%
第9案,新北市,淡水區,"56,884","15,744","72,628","4,275","76,903","147,272",52.22%,38.63%
第9案,新北市,汐止區,"66,826","18,635","85,461","5,764","91,225","173,831",52.48%,38.44%
第9案,新北市,瑞芳區,"11,889","3,499","15,388","1,389","16,777","35,036",47.89%,33.93%
第9案,新北市,土城區,"78,444","23,052","101,496","8,032","109,528","200,783",54.55%,39.07%
第9案,新北市,蘆洲區,"62,795","19,292","82,087","6,999","89,086","167,457",53.2%,37.5%
第9案,新北市,五股區,"27,203","8,114","35,317","2,891","38,208","72,443",52.74%,37.55%
第9案,新北市,泰山區,"25,751","7,077","32,828","2,195","35,023","64,252",54.51%,40.08%
第9案,新北市,林口區,"36,130","9,352","45,482","2,631","48,113","86,203",55.81%,41.91%
第9案,新北市,深坑區,"8,138","2,354","10,492",709,"11,201","20,624",54.31%,39.46%
第9案,新北市,石碇區,"2,295",801,"3,096",305,"3,401","6,861",49.57%,33.45%
第9案,新北市,坪林區,"1,953",621,"2,574",354,"2,928","5,891",49.7%,33.15%
第9案,新北市,三芝區,"6,678","2,109","8,787",749,"9,536","20,119",47.4%,33.19%
第9案,新北市,石門區,"3,763","1,130","4,893",535,"5,428","10,528",51.56%,35.74%
第9案,新北市,八里區,"12,479","3,635","16,114","1,313","17,427","32,970",52.86%,37.85%
第9案,新北市,平溪區,"1,356",440,"1,796",231,"2,027","4,321",46.91%,31.38%
第9案,新北市,雙溪區,"2,684",763,"3,447",415,"3,862","7,999",48.28%,33.55%
第9案,新北市,貢寮區,"3,212","1,103","4,315",491,"4,806","11,279",42.61%,28.48%
第9案,新北市,金山區,"6,592","2,052","8,644",929,"9,573","18,978",50.44%,34.73%
第9案,新北市,萬里區,"6,706","1,960","8,666",881,"9,547","19,297",49.47%,34.75%
第9案,新北市,烏來區,"1,998",531,"2,529",167,"2,696","5,264",51.22%,37.96%
第9案,桃園市,桃園區,"135,146","36,154","171,300","9,713","181,013","359,790",50.31%,37.56%
第9案,桃園市,中壢區,"133,601","31,671","165,272","9,376","174,648","334,402",52.23%,39.95%
第9案,桃園市,大溪區,"29,096","8,537","37,633","3,237","40,870","78,285",52.21%,37.17%
第9案,桃園市,楊梅區,"52,981","12,652","65,633","3,838","69,471","137,917",50.37%,38.42%
第9案,桃園市,蘆竹區,"47,832","13,297","61,129","3,997","65,126","129,252",50.39%,37.01%
第9案,桃園市,大園區,"26,424","7,468","33,892","2,188","36,080","73,900",48.82%,35.76%
第9案,桃園市,龜山區,"46,731","13,559","60,290","3,728","64,018","131,702",48.61%,35.48%
第9案,桃園市,八德區,"61,711","15,775","77,486","5,315","82,801","165,065",50.16%,37.39%
第9案,桃園市,龍潭區,"40,992","9,904","50,896","2,941","53,837","101,574",53%,40.36%
第9案,桃園市,平鎮區,"73,505","18,054","91,559","4,915","96,474","183,560",52.56%,40.04%
第9案,桃園市,新屋區,"16,624","4,714","21,338","1,533","22,871","41,461",55.16%,40.1%
第9案,桃園市,觀音區,"19,925","5,698","25,623","1,844","27,467","55,149",49.81%,36.13%
第9案,桃園市,復興區,"3,523","1,008","4,531",414,"4,945","9,766",50.63%,36.07%
第9案,臺中市,中區,"5,791","1,823","7,614",526,"8,140","14,696",55.39%,39.41%
第9案,臺中市,東區,"27,322","7,695","35,017","2,488","37,505","64,291",58.34%,42.5%
第9案,臺中市,南區,"46,759","12,828","59,587","3,822","63,409","103,643",61.18%,45.12%
第9案,臺中市,西區,"40,385","11,765","52,150","2,891","55,041","95,040",57.91%,42.49%
第9案,臺中市,北區,"52,039","13,793","65,832","3,502","69,334","124,621",55.64%,41.76%
第9案,臺中市,西屯區,"79,926","20,371","100,297","5,642","105,939","183,814",57.63%,43.48%
第9案,臺中市,南屯區,"60,752","16,391","77,143","4,455","81,598","135,448",60.24%,44.85%
第9案,臺中市,北屯區,"98,529","23,765","122,294","7,061","129,355","227,720",56.8%,43.27%
第9案,臺中市,豐原區,"60,188","16,041","76,229","5,127","81,356","136,658",59.53%,44.04%
第9案,臺中市,東勢區,"18,187","4,704","22,891","2,135","25,026","43,181",57.96%,42.12%
第9案,臺中市,大甲區,"26,358","6,823","33,181","2,601","35,782","63,069",56.73%,41.79%
第9案,臺中市,清水區,"30,691","8,080","38,771","3,018","41,789","71,528",58.42%,42.91%
第9案,臺中市,沙鹿區,"31,524","7,795","39,319","2,682","42,001","74,207",56.6%,42.48%
第9案,臺中市,梧棲區,"19,604","5,267","24,871","1,888","26,759","47,040",56.89%,41.68%
第9案,臺中市,后里區,"18,978","5,164","24,142","1,842","25,984","44,962",57.79%,42.21%
第9案,臺中市,神岡區,"23,245","6,451","29,696","2,231","31,927","54,565",58.51%,42.6%
第9案,臺中市,潭子區,"38,184","9,737","47,921","2,886","50,807","89,487",56.78%,42.67%
第9案,臺中市,大雅區,"33,234","7,930","41,164","2,665","43,829","77,189",56.78%,43.06%
第9案,臺中市,新社區,"8,051","2,049","10,100",760,"10,860","20,860",52.06%,38.6%
第9案,臺中市,石岡區,"5,462","1,576","7,038",585,"7,623","12,880",59.18%,42.41%
第9案,臺中市,外埔區,"11,940","2,774","14,714","1,017","15,731","27,059",58.14%,44.13%
第9案,臺中市,大安區,"6,877","1,904","8,781",907,"9,688","16,520",58.64%,41.63%
第9案,臺中市,烏日區,"26,319","7,090","33,409","2,506","35,915","61,705",58.2%,42.65%
第9案,臺中市,大肚區,"20,208","5,225","25,433","1,993","27,426","47,457",57.79%,42.58%
第9案,臺中市,龍井區,"26,267","6,958","33,225","2,229","35,454","63,584",55.76%,41.31%
第9案,臺中市,霧峰區,"24,158","6,486","30,644","2,571","33,215","55,225",60.14%,43.74%
第9案,臺中市,太平區,"63,860","16,284","80,144","5,343","85,487","157,926",54.13%,40.44%
第9案,臺中市,大里區,"70,764","18,720","89,484","6,179","95,663","171,769",55.69%,41.2%
第9案,臺中市,和平區,"4,219","1,051","5,270",393,"5,663","9,498",59.62%,44.42%
第9案,臺南市,新營區,"22,908","6,715","29,623","1,878","31,501","64,949",48.5%,35.27%
第9案,臺南市,鹽水區,"6,972","2,373","9,345",886,"10,231","22,121",46.25%,31.52%
第9案,臺南市,白河區,"6,981","2,370","9,351",909,"10,260","24,894",41.21%,28.04%
第9案,臺南市,柳營區,"6,152","1,934","8,086",937,"9,023","18,804",47.98%,32.72%
第9案,臺南市,後壁區,"6,290","1,929","8,219","1,046","9,265","20,841",44.46%,30.18%
第9案,臺南市,東山區,"4,446","1,557","6,003",746,"6,749","18,471",36.54%,24.07%
第9案,臺南市,麻豆區,"12,403","4,280","16,683","1,193","17,876","37,963",47.09%,32.67%
第9案,臺南市,下營區,"6,443","2,029","8,472",969,"9,441","20,947",45.07%,30.76%
第9案,臺南市,六甲區,"6,067","2,143","8,210",895,"9,105","19,144",47.56%,31.69%
第9案,臺南市,官田區,"5,969","2,099","8,068",687,"8,755","18,675",46.88%,31.96%
第9案,臺南市,大內區,"2,718",875,"3,593",429,"4,022","8,654",46.48%,31.41%
第9案,臺南市,佳里區,"18,292","5,510","23,802","1,986","25,788","50,407",51.16%,36.29%
第9案,臺南市,學甲區,"7,318","2,285","9,603",855,"10,458","22,567",46.34%,32.43%
第9案,臺南市,西港區,"6,712","2,132","8,844",761,"9,605","21,564",44.54%,31.13%
第9案,臺南市,七股區,"5,754","1,890","7,644",781,"8,425","19,950",42.23%,28.84%
第9案,臺南市,將軍區,"5,072","1,558","6,630",665,"7,295","17,754",41.09%,28.57%
第9案,臺南市,北門區,"2,663",846,"3,509",292,"3,801","9,925",38.3%,26.83%
第9案,臺南市,新化區,"13,548","4,320","17,868","1,826","19,694","37,296",52.8%,36.33%
第9案,臺南市,善化區,"13,857","4,592","18,449","1,620","20,069","39,950",50.24%,34.69%
第9案,臺南市,新市區,"11,298","3,479","14,777","1,250","16,027","30,386",52.74%,37.18%
第9案,臺南市,安定區,"9,470","2,944","12,414","1,263","13,677","26,104",52.39%,36.28%
第9案,臺南市,山上區,"1,873",609,"2,482",275,"2,757","6,511",42.34%,28.77%
第9案,臺南市,玉井區,"4,104","1,186","5,290",505,"5,795","12,357",46.9%,33.21%
第9案,臺南市,楠西區,"2,572",744,"3,316",341,"3,657","8,528",42.88%,30.16%
第9案,臺南市,南化區,"2,456",808,"3,264",355,"3,619","7,786",46.48%,31.54%
第9案,臺南市,左鎮區,"1,234",439,"1,673",231,"1,904","4,418",43.1%,27.93%
第9案,臺南市,仁德區,"24,009","7,048","31,057","2,573","33,630","64,632",52.03%,37.15%
第9案,臺南市,歸仁區,"20,762","6,557","27,319","2,338","29,657","57,387",51.68%,36.18%
第9案,臺南市,關廟區,"10,607","3,519","14,126","1,243","15,369","29,913",51.38%,35.46%
第9案,臺南市,龍崎區,"1,191",348,"1,539",160,"1,699","3,713",45.76%,32.08%
第9案,臺南市,永康區,"71,529","21,293","92,822","6,646","99,468","195,001",51.01%,36.68%
第9案,臺南市,東區,"58,738","18,683","77,421","4,959","82,380","153,359",53.72%,38.3%
第9案,臺南市,南區,"37,203","12,765","49,968","4,367","54,335","108,650",50.01%,34.24%
第9案,臺南市,北區,"41,607","13,080","54,687","3,729","58,416","110,906",52.67%,37.52%
第9案,臺南市,安南區,"57,329","18,271","75,600","6,561","82,161","159,654",51.46%,35.91%
第9案,臺南市,安平區,"19,673","6,250","25,923","1,661","27,584","55,379",49.81%,35.52%
第9案,臺南市,中西區,"24,374","8,814","33,188","2,516","35,704","65,261",54.71%,37.35%
第9案,高雄市,鹽埕區,"8,309","2,943","11,252",676,"11,928","21,617",55.18%,38.44%
第9案,高雄市,鼓山區,"48,707","14,112","62,819","4,086","66,905","114,979",58.19%,42.36%
第9案,高雄市,左營區,"71,184","19,573","90,757","5,424","96,181","161,367",59.6%,44.11%
第9案,高雄市,楠梓區,"65,274","18,600","83,874","7,198","91,072","153,132",59.47%,42.63%
第9案,高雄市,三民區,"120,091","37,189","157,280","10,524","167,804","289,519",57.96%,41.48%
第9案,高雄市,新興區,"18,404","6,488","24,892","1,616","26,508","44,355",59.76%,41.49%
第9案,高雄市,前金區,"9,799","3,417","13,216",904,"14,120","23,928",59.01%,40.95%
第9案,高雄市,苓雅區,"62,255","19,545","81,800","5,685","87,485","146,786",59.6%,42.41%
第9案,高雄市,前鎮區,"65,326","20,199","85,525","7,215","92,740","161,797",57.32%,40.38%
第9案,高雄市,旗津區,"8,132","2,910","11,042","1,324","12,366","24,860",49.74%,32.71%
第9案,高雄市,小港區,"55,215","15,762","70,977","5,177","76,154","132,733",57.37%,41.6%
第9案,高雄市,鳳山區,"129,085","35,291","164,376","11,320","175,696","300,510",58.47%,42.96%
第9案,高雄市,林園區,"22,575","6,889","29,464","2,778","32,242","59,129",54.53%,38.18%
第9案,高雄市,大寮區,"38,925","11,430","50,355","4,150","54,505","97,309",56.01%,40%
第9案,高雄市,大樹區,"13,972","4,324","18,296","1,704","20,000","36,772",54.39%,38%
第9案,高雄市,大社區,"11,744","3,908","15,652","1,396","17,048","30,046",56.74%,39.09%
第9案,高雄市,仁武區,"30,858","8,796","39,654","2,570","42,224","73,611",57.36%,41.92%
第9案,高雄市,鳥松區,"16,620","5,282","21,902","1,550","23,452","39,191",59.84%,42.41%
第9案,高雄市,岡山區,"35,934","9,783","45,717","3,433","49,150","81,244",60.5%,44.23%
第9案,高雄市,橋頭區,"13,650","4,323","17,973","1,929","19,902","32,565",61.11%,41.92%
第9案,高雄市,燕巢區,"10,042","3,140","13,182","1,444","14,626","26,012",56.23%,38.61%
第9案,高雄市,田寮區,"2,021",706,"2,727",358,"3,085","6,671",46.24%,30.3%
第9案,高雄市,阿蓮區,"9,103","2,878","11,981",954,"12,935","24,534",52.72%,37.1%
第9案,高雄市,路竹區,"17,739","5,509","23,248","2,307","25,555","43,850",58.28%,40.45%
第9案,高雄市,湖內區,"9,497","3,356","12,853","1,079","13,932","25,729",54.15%,36.91%
第9案,高雄市,茄萣區,"9,093","3,132","12,225","1,502","13,727","26,212",52.37%,34.69%
第9案,高雄市,永安區,"5,146","1,654","6,800",682,"7,482","12,001",62.34%,42.88%
第9案,高雄市,彌陀區,"6,401","2,587","8,988","1,082","10,070","16,487",61.08%,38.82%
第9案,高雄市,梓官區,"12,179","3,914","16,093","1,582","17,675","31,025",56.97%,39.26%
第9案,高雄市,旗山區,"12,146","3,836","15,982","1,525","17,507","31,996",54.72%,37.96%
第9案,高雄市,美濃區,"13,318","3,814","17,132","1,879","19,011","35,311",53.84%,37.72%
第9案,高雄市,六龜區,"3,496","1,226","4,722",698,"5,420","11,501",47.13%,30.4%
第9案,高雄市,甲仙區,"1,767",518,"2,285",314,"2,599","5,417",47.98%,32.62%
第9案,高雄市,杉林區,"3,088","1,137","4,225",507,"4,732","10,607",44.61%,29.11%
第9案,高雄市,內門區,"3,998","1,359","5,357",762,"6,119","13,002",47.06%,30.75%
第9案,高雄市,茂林區,758,213,971,90,"1,061","1,615",65.7%,46.93%
第9案,高雄市,桃源區,"1,239",395,"1,634",109,"1,743","3,498",49.83%,35.42%
第9案,高雄市,那瑪夏區,917,303,"1,220",165,"1,385","2,424",57.14%,37.83%
第9案,新竹縣,竹北市,"60,847","14,949","75,796","3,703","79,499","137,129",57.97%,44.37%
第9案,新竹縣,竹東鎮,"31,963","7,885","39,848","2,370","42,218","78,794",53.58%,40.57%
第9案,新竹縣,新埔鎮,"12,046","3,055","15,101","1,093","16,194","28,894",56.05%,41.69%
第9案,新竹縣,關西鎮,"10,235","2,748","12,983",974,"13,957","24,712",56.48%,41.42%
第9案,新竹縣,湖口鄉,"26,766","6,632","33,398","1,932","35,330","63,511",55.63%,42.14%
第9案,新竹縣,新豐鄉,"19,113","4,910","24,023","1,488","25,511","45,790",55.71%,41.74%
第9案,新竹縣,芎林鄉,"7,422","2,022","9,444",673,"10,117","17,293",58.5%,42.92%
第9案,新竹縣,橫山鄉,"4,871","1,288","6,159",516,"6,675","11,346",58.83%,42.93%
第9案,新竹縣,北埔鄉,"3,408",853,"4,261",284,"4,545","8,180",55.56%,41.66%
第9案,新竹縣,寶山鄉,"5,620","1,533","7,153",431,"7,584","12,973",58.46%,43.32%
第9案,新竹縣,峨眉鄉,"2,175",595,"2,770",279,"3,049","5,068",60.16%,42.92%
第9案,新竹縣,尖石鄉,"2,212",713,"2,925",213,"3,138","7,364",42.61%,30.04%
第9案,新竹縣,五峰鄉,"1,167",381,"1,548",103,"1,651","3,997",41.31%,29.2%
第9案,苗栗縣,苗栗市,"33,058","7,432","40,490","2,312","42,802","74,249",57.65%,44.52%
第9案,苗栗縣,苑裡鎮,"15,629","4,685","20,314","1,797","22,111","38,890",56.86%,40.19%
第9案,苗栗縣,通霄鎮,"10,767","3,578","14,345","1,550","15,895","29,709",53.5%,36.24%
第9案,苗栗縣,竹南鎮,"28,434","7,574","36,008","2,346","38,354","68,528",55.97%,41.49%
第9案,苗栗縣,頭份市,"35,262","8,947","44,209","2,801","47,010","83,617",56.22%,42.17%
第9案,苗栗縣,後龍鎮,"11,663","3,645","15,308","1,670","16,978","30,948",54.86%,37.69%
第9案,苗栗縣,卓蘭鎮,"6,068","1,785","7,853",698,"8,551","14,772",57.89%,41.08%
第9案,苗栗縣,大湖鄉,"4,826","1,340","6,166",561,"6,727","12,653",53.17%,38.14%
第9案,苗栗縣,公館鄉,"12,057","3,320","15,377","1,336","16,713","28,318",59.02%,42.58%
第9案,苗栗縣,銅鑼鄉,"6,390","1,673","8,063",577,"8,640","15,424",56.02%,41.43%
第9案,苗栗縣,南庄鄉,"2,985",947,"3,932",376,"4,308","8,784",49.04%,33.98%
第9案,苗栗縣,頭屋鄉,"4,274","1,432","5,706",379,"6,085","9,390",64.8%,45.52%
第9案,苗栗縣,三義鄉,"6,215","1,468","7,683",453,"8,136","13,889",58.58%,44.75%
第9案,苗栗縣,西湖鄉,"2,572",703,"3,275",247,"3,522","6,382",55.19%,40.3%
第9案,苗栗縣,造橋鄉,"4,561","1,261","5,822",591,"6,413","11,027",58.16%,41.36%
第9案,苗栗縣,三灣鄉,"2,313",742,"3,055",320,"3,375","5,852",57.67%,39.52%
第9案,苗栗縣,獅潭鄉,"1,450",374,"1,824",194,"2,018","3,968",50.86%,36.54%
第9案,苗栗縣,泰安鄉,"2,394",688,"3,082",275,"3,357","5,180",64.81%,46.22%
